year,winners,category
1939,That Mothers Might Live,"Best Short Subject, One-reel"
1939,The Declaration of Independence,"Best Short Subject, Two-reel"
1939,The Cowboy and the Lady,"Best Sound, Recording"
1939,Boys Town,"Best Writing, Original Story"
1939,Pygmalion,"Best Writing, Screenplay"
1940,Robert Donat,Best Actor in a Leading Role
1940,Thomas Mitchell,Best Actor in a Supporting Role
1940,Vivien Leigh,Best Actress in a Leading Role
1940,Hattie McDaniel,Best Actress in a Supporting Role
1940,Gone with the Wind,Best Art Direction
1940,Wuthering Heights,"Best Cinematography, Black-and-White"
1940,Gone with the Wind,"Best Cinematography, Color"
1940,Victor Fleming,Best Director
1940,The Rains Came,"Best Effects, Special Effects"
1940,Gone with the Wind,Best Film Editing
1940,The Wizard of Oz,"Best Music, Original Score"
1940,The Wizard of Oz,"Best Music, Original Song"
1940,Stagecoach,"Best Music, Scoring"
1940,Gone with the Wind,Best Picture
1940,Ugly Duckling,"Best Short Subject, Cartoons"
1940,Busy Little Bears,"Best Short Subject, One-reel"
1940,Sons of Liberty,"Best Short Subject, Two-reel"
1940,When Tomorrow Comes,"Best Sound, Recording"
1940,Mr. Smith Goes to Washington,"Best Writing, Original Story"
1940,Gone with the Wind,"Best Writing, Screenplay"
1941,James Stewart,Best Actor in a Leading Role
1941,Walter Brennan,Best Actor in a Supporting Role
1941,Ginger Rogers,Best Actress in a Leading Role
1941,Jane Darwell,Best Actress in a Supporting Role
1941,Pride and Prejudice,"Best Art Direction, Black-and-White"
1941,The Thief of Bagdad,"Best Art Direction, Color"
1941,Rebecca,"Best Cinematography, Black-and-White"
1941,The Thief of Bagdad,"Best Cinematography, Color"
1941,John Ford,Best Director
1941,The Thief of Bagdad,"Best Effects, Special Effects"
1941,North West Mounted Police,Best Film Editing
1941,Pinocchio,"Best Music, Original Score"
1941,Pinocchio,"Best Music, Original Song"
1941,Tin Pan Alley,"Best Music, Score"
1941,Rebecca,Best Picture
1941,The Milky Way,"Best Short Subject, Cartoons"
1941,Quicker'n a Wink,"Best Short Subject, One-reel"
1941,Teddy the Rough Rider,"Best Short Subject, Two-reel"
1941,Strike Up the Band,"Best Sound, Recording"
1941,The Great McGinty,"Best Writing, Original Screenplay"
1941,"Arise, My Love","Best Writing, Original Story"
1941,The Philadelphia Story,"Best Writing, Screenplay"
1942,Gary Cooper,Best Actor in a Leading Role
1942,Donald Crisp,Best Actor in a Supporting Role
1942,Joan Fontaine,Best Actress in a Leading Role
1942,Mary Astor,Best Actress in a Supporting Role
1942,How Green Was My Valley,"Best Art Direction-Interior Decoration, Black-and-White"
1942,Blossoms in the Dust,"Best Art Direction-Interior Decoration, Color"
1942,How Green Was My Valley,"Best Cinematography, Black-and-White"
1942,Blood and Sand,"Best Cinematography, Color"
1942,John Ford,Best Director
