year,winners,category
1956,Oklahoma!,"Best Music, Scoring of a Musical Picture"
1956,Marty,Best Picture
1956,Speedy Gonzales,"Best Short Subject, Cartoons"
1956,Survival City,"Best Short Subject, One-reel"
1956,The Face of Lincoln,"Best Short Subject, Two-reel"
1956,Oklahoma!,"Best Sound, Recording"
1956,Love Me or Leave Me,"Best Writing, Motion Picture Story"
1956,Marty,"Best Writing, Screenplay"
1956,Interrupted Melody,"Best Writing, Story and Screenplay"
1957,Yul Brynner,Best Actor in a Leading Role
1957,Anthony Quinn,Best Actor in a Supporting Role
1957,Ingrid Bergman,Best Actress in a Leading Role
1957,Dorothy Malone,Best Actress in a Supporting Role
1957,Somebody Up There Likes Me,"Best Art Direction-Set Decoration, Black-and-White"
1957,The King and I,"Best Art Direction-Set Decoration, Color"
1957,Somebody Up There Likes Me,"Best Cinematography, Black-and-White"
1957,Around the World in 80 Days,"Best Cinematography, Color"
1957,The Solid Gold Cadillac,"Best Costume Design, Black-and-White"
1957,The King and I,"Best Costume Design, Color"
1957,George Stevens,Best Director
1957,The Silent World,"Best Documentary, Features"
1957,The True Story of the Civil War,"Best Documentary, Short Subjects"
1957,The Ten Commandments,"Best Effects, Special Effects"
1957,Around the World in 80 Days,Best Film Editing
1957,La strada,Best Foreign Language Film
1957,The Man Who Knew Too Much,"Best Music, Original Song"
1957,Around the World in 80 Days,"Best Music, Scoring of a Dramatic or Comedy Picture"
1957,The King and I,"Best Music, Scoring of a Musical Picture"
1957,Around the World in 80 Days,Best Picture
1957,Magoo's Puddle Jumper,"Best Short Subject, Cartoons"
1957,Crashing the Water Barrier,"Best Short Subject, One-reel"
1957,The Bespoke Overcoat,"Best Short Subject, Two-reel"
1957,The King and I,"Best Sound, Recording"
1957,Around the World in 80 Days,"Best Writing, Best Screenplay - Adapted"
1957,The Red Balloon,"Best Writing, Best Screenplay - Original"
1957,The Brave One,"Best Writing, Motion Picture Story"
1958,Alec Guinness,Best Actor in a Leading Role
1958,Red Buttons,Best Actor in a Supporting Role
1958,Joanne Woodward,Best Actress in a Leading Role
1958,Miyoshi Umeki,Best Actress in a Supporting Role
1958,Sayonara,Best Art Direction-Set Decoration
1958,The Bridge on the River Kwai,Best Cinematography
1958,Les Girls,Best Costume Design
1958,David Lean,Best Director
1958,Albert Schweitzer,"Best Documentary, Features"
1958,The Enemy Below,"Best Effects, Special Effects"
1958,The Bridge on the River Kwai,Best Film Editing
1958,Nights of Cabiria,Best Foreign Language Film
1958,The Joker Is Wild,"Best Music, Original Song"
1958,The Bridge on the River Kwai,"Best Music, Scoring"
1958,The Bridge on the River Kwai,Best Picture
1958,Birds Anonymous,"Best Short Subject, Cartoons"
1958,The Wetback Hound,"Best Short Subject, Live Action Subjects"
1958,Sayonara,"Best Sound, Recording"
1958,The Bridge on the River Kwai,"Best Writing, Screenplay Based on Material from Another Medium"
1958,Designing Woman,"Best Writing, Story and Screenplay - Written Directly for the Screen"
1959,David Niven,Best Actor in a Leading Role
1959,Burl Ives,Best Actor in a Supporting Role
1959,Susan Hayward,Best Actress in a Leading Role
1959,Wendy Hiller,Best Actress in a Supporting Role
1959,Gigi,"Best Art Direction-Set Decoration, Black-and-White or Color"
1959,The Defiant Ones,"Best Cinematography, Black-and-White"
1959,Gigi,"Best Cinematography, Color"
1959,Gigi,"Best Costume Design, Black-and-White or Color"
1959,Vincente Minnelli,Best Director
1959,White Wilderness,"Best Documentary, Features"
1959,Ama Girls,"Best Documentary, Short Subjects"
1959,Tom Thumb,"Best Effects, Special Effects"
1959,Gigi,Best Film Editing
1959,Mon oncle,Best Foreign Language Film
1959,Gigi,"Best Music, Original Song"
1959,The Old Man and the Sea,"Best Music, Scoring of a Dramatic or Comedy Picture"
1959,Gigi,"Best Music, Scoring of a Musical Picture"
1959,Gigi,Best Picture
1959,Knighty Knight Bugs,"Best Short Subject, Cartoons"
1959,Grand Canyon,"Best Short Subject, Live Action Subjects"
1959,South Pacific,Best Sound
1959,Gigi,"Best Writing, Screenplay Based on Material from Another Medium"
1959,The Defiant Ones,"Best Writing, Story and Screenplay - Written Directly for the Screen"
1960,Charlton Heston,Best Actor in a Leading Role
1960,Hugh Griffith,Best Actor in a Supporting Role
1960,Simone Signoret,Best Actress in a Leading Role
1960,Shelley Winters,Best Actress in a Supporting Role
1960,The Diary of Anne Frank,"Best Art Direction-Set Decoration, Black-and-White"
1960,Ben-Hur,"Best Art Direction-Set Decoration, Color"
1960,The Diary of Anne Frank,"Best Cinematography, Black-and-White"
1960,Ben-Hur,"Best Cinematography, Color"
1960,Some Like It Hot,"Best Costume Design, Black-and-White"
1960,Ben-Hur,"Best Costume Design, Color"
1960,William Wyler,Best Director
1960,Serengeti,"Best Documentary, Features"
1960,Glass,"Best Documentary, Short Subjects"
1960,Ben-Hur,"Best Effects, Special Effects"
1960,Ben-Hur,Best Film Editing
1960,Black Orpheus,Best Foreign Language Film
1960,A Hole in the Head,"Best Music, Original Song"
1960,Ben-Hur,"Best Music, Scoring of a Dramatic or Comedy Picture"
1960,Porgy and Bess,"Best Music, Scoring of a Musical Picture"
1960,Ben-Hur,Best Picture
1960,Moonbird,"Best Short Subject, Cartoons"
1960,The Golden Fish,"Best Short Subject, Live Action Subjects"
1960,Ben-Hur,Best Sound
1960,Room at the Top,"Best Writing, Screenplay Based on Material from Another Medium"
1960,Pillow Talk,"Best Writing, Story and Screenplay - Written Directly for the Screen"
1961,Burt Lancaster,Best Actor in a Leading Role
1961,Peter Ustinov,Best Actor in a Supporting Role
1961,Elizabeth Taylor,Best Actress in a Leading Role
1961,Shirley Jones,Best Actress in a Supporting Role
1961,The Apartment,"Best Art Direction-Set Decoration, Black-and-White"
1961,Spartacus,"Best Art Direction-Set Decoration, Color"
1961,Sons and Lovers,"Best Cinematography, Black-and-White"
1961,Spartacus,"Best Cinematography, Color"
1961,The Facts of Life,"Best Costume Design, Black-and-White"
1961,Spartacus,"Best Costume Design, Color"
1961,Billy Wilder,Best Director
1961,The Horse with the Flying Tail,"Best Documentary, Features"
1961,Giuseppina,"Best Documentary, Short Subjects"
1961,The Time Machine,"Best Effects, Special Effects"
1961,The Apartment,Best Film Editing
1961,The Virgin Spring,Best Foreign Language Film
1961,Never on Sunday,"Best Music, Original Song"
1961,Exodus,"Best Music, Scoring of a Dramatic or Comedy Picture"
1961,Song Without End,"Best Music, Scoring of a Musical Picture"
1961,The Apartment,Best Picture
1961,Munro,"Best Short Subject, Cartoons"
1961,Day of the Painter,"Best Short Subject, Live Action Subjects"
1961,The Alamo,Best Sound
1961,Elmer Gantry,"Best Writing, Screenplay Based on Material from Another Medium"
1961,The Apartment,"Best Writing, Story and Screenplay - Written Directly for the Screen"
1962,Maximilian Schell,Best Actor in a Leading Role
1962,George Chakiris,Best Actor in a Supporting Role
1962,Sophia Loren,Best Actress in a Leading Role
1962,Rita Moreno,Best Actress in a Supporting Role
1962,The Hustler,"Best Art Direction-Set Decoration, Black-and-White"
1962,West Side Story,"Best Art Direction-Set Decoration, Color"
1962,The Hustler,"Best Cinematography, Black-and-White"
1962,West Side Story,"Best Cinematography, Color"
1962,La dolce vita,"Best Costume Design, Black-and-White"
1962,West Side Story,"Best Costume Design, Color"
1962,Robert Wise,Best Director
1962,Jerome Robbins,Best Director
1962,"The Sky Above, the Mud Below","Best Documentary, Features"
1962,Project Hope,"Best Documentary, Short Subjects"
1962,The Guns of Navarone,"Best Effects, Special Effects"
1962,West Side Story,Best Film Editing
1962,Through a Glass Darkly,Best Foreign Language Film
1962,Breakfast at Tiffany's,"Best Music, Original Song"
1962,Breakfast at Tiffany's,"Best Music, Scoring of a Dramatic or Comedy Picture"
1962,West Side Story,"Best Music, Scoring of a Musical Picture"
1962,West Side Story,Best Picture
1962,The Substitute,"Best Short Subject, Cartoons"
1962,Seawards the Great Ships,"Best Short Subject, Live Action Subjects"
1962,West Side Story,Best Sound
1962,Judgment at Nuremberg,"Best Writing, Screenplay Based on Material from Another Medium"
1962,Splendor in the Grass,"Best Writing, Story and Screenplay - Written Directly for the Screen"
1963,Gregory Peck,Best Actor in a Leading Role
1963,Ed Begley,Best Actor in a Supporting Role
1963,Anne Bancroft,Best Actress in a Leading Role
1963,Patty Duke,Best Actress in a Supporting Role
1963,To Kill a Mockingbird,"Best Art Direction-Set Decoration, Black-and-White"
1963,Lawrence of Arabia,"Best Art Direction-Set Decoration, Color"
1963,The Longest Day,"Best Cinematography, Black-and-White"
1963,Lawrence of Arabia,"Best Cinematography, Color"
1963,What Ever Happened to Baby Jane?,"Best Costume Design, Black-and-White"
1963,The Wonderful World of the Brothers Grimm,"Best Costume Design, Color"
1963,David Lean,Best Director
1963,Black Fox: The True Story of Adolf Hitler,"Best Documentary, Features"
1963,A Tribute to Dylan Thomas,"Best Documentary, Short Subjects"
1963,The Longest Day,"Best Effects, Special Effects"
1963,Lawrence of Arabia,Best Film Editing
1963,Sundays and Cybèle,Best Foreign Language Film
1963,Days of Wine and Roses,"Best Music, Original Song"
1963,Lawrence of Arabia,"Best Music, Score - Substantially Original"
1963,The Music Man,"Best Music, Scoring of Music, Adaptation or Treatment"
1963,Lawrence of Arabia,Best Picture
1963,The Hole,"Best Short Subject, Cartoons"
1963,Happy Anniversary,"Best Short Subject, Live Action Subjects"
1963,Lawrence of Arabia,Best Sound
1963,To Kill a Mockingbird,"Best Writing, Screenplay Based on Material from Another Medium"
1963,Divorce Italian Style,"Best Writing, Story and Screenplay - Written Directly for the Screen"
1964,Sidney Poitier,Best Actor in a Leading Role
1964,Melvyn Douglas,Best Actor in a Supporting Role
1964,Patricia Neal,Best Actress in a Leading Role
1964,Margaret Rutherford,Best Actress in a Supporting Role
1964,America America,"Best Art Direction-Set Decoration, Black-and-White"
1964,Cleopatra,"Best Art Direction-Set Decoration, Color"
1964,Hud,"Best Cinematography, Black-and-White"
1964,Cleopatra,"Best Cinematography, Color"
1964,8½,"Best Costume Design, Black-and-White"
1964,Cleopatra,"Best Costume Design, Color"
1964,Tony Richardson,Best Director
1964,Robert Frost: A Lover's Quarrel with the World,"Best Documentary, Features"
1964,Chagall,"Best Documentary, Short Subjects"
1964,It's a Mad Mad Mad Mad World,"Best Effects, Sound Effects"
1964,Cleopatra,"Best Effects, Special Visual Effects"
1964,How the West Was Won,Best Film Editing
1964,8½,Best Foreign Language Film
1964,Papa's Delicate Condition,"Best Music, Original Song"
1964,Tom Jones,"Best Music, Score - Substantially Original"
1964,Irma la Douce,"Best Music, Scoring of Music, Adaptation or Treatment"
1964,Tom Jones,Best Picture
1964,The Critic,"Best Short Subject, Cartoons"
1964,Occurrence at Owl Creek Bridge,"Best Short Subject, Live Action Subjects"
1964,How the West Was Won,Best Sound
1964,Tom Jones,"Best Writing, Screenplay Based on Material from Another Medium"
1964,How the West Was Won,"Best Writing, Story and Screenplay - Written Directly for the Screen"
1965,Rex Harrison,Best Actor in a Leading Role
1965,Peter Ustinov,Best Actor in a Supporting Role
1965,Julie Andrews,Best Actress in a Leading Role
1965,Lila Kedrova,Best Actress in a Supporting Role
1965,Zorba the Greek,"Best Art Direction-Set Decoration, Black-and-White"
1965,My Fair Lady,"Best Art Direction-Set Decoration, Color"
1965,Zorba the Greek,"Best Cinematography, Black-and-White"
1965,My Fair Lady,"Best Cinematography, Color"
1965,The Night of the Iguana,"Best Costume Design, Black-and-White"
1965,My Fair Lady,"Best Costume Design, Color"
1965,George Cukor,Best Director
1965,World Without Sun,"Best Documentary, Features"
1965,Nine from Little Rock,"Best Documentary, Short Subjects"
1965,Goldfinger,"Best Effects, Sound Effects"
1965,Mary Poppins,"Best Effects, Special Visual Effects"
1965,Mary Poppins,Best Film Editing
1965,"Yesterday, Today and Tomorrow",Best Foreign Language Film
1965,Mary Poppins,"Best Music, Original Song"
1965,My Fair Lady,"Best Music, Scoring of Music, Adaptation or Treatment"
1965,Mary Poppins,"Best Music, Substantially Original Score"
1965,My Fair Lady,Best Picture
1965,The Pink Phink,"Best Short Subject, Cartoons"
1965,Casals Conducts: 1964,"Best Short Subject, Live Action Subjects"
1965,My Fair Lady,Best Sound
1965,Becket,"Best Writing, Screenplay Based on Material from Another Medium"
1965,Father Goose,"Best Writing, Story and Screenplay - Written Directly for the Screen"
1966,Lee Marvin,Best Actor in a Leading Role
1966,Martin Balsam,Best Actor in a Supporting Role
1966,Julie Christie,Best Actress in a Leading Role
1966,Shelley Winters,Best Actress in a Supporting Role
1966,Ship of Fools,"Best Art Direction-Set Decoration, Black-and-White"
1966,Doctor Zhivago,"Best Art Direction-Set Decoration, Color"
1966,Ship of Fools,"Best Cinematography, Black-and-White"
1966,Doctor Zhivago,"Best Cinematography, Color"
1966,Darling,"Best Costume Design, Black-and-White"
1966,Doctor Zhivago,"Best Costume Design, Color"
1966,Robert Wise,Best Director
1966,The Eleanor Roosevelt Story,"Best Documentary, Features"
1966,To Be Alive!,"Best Documentary, Short Subjects"
1966,The Great Race,"Best Effects, Sound Effects"
1966,Thunderball,"Best Effects, Special Visual Effects"
1966,The Sound of Music,Best Film Editing
1966,The Shop on Main Street,Best Foreign Language Film
1966,The Sandpiper,"Best Music, Original Song"
1966,Doctor Zhivago,"Best Music, Score - Substantially Original"
1966,The Sound of Music,"Best Music, Scoring of Music, Adaptation or Treatment"
1966,The Sound of Music,Best Picture
1966,The Dot and the Line: A Romance in Lower Mathematics,"Best Short Subject, Cartoons"
1966,The Chicken,"Best Short Subject, Live Action Subjects"
1966,The Sound of Music,Best Sound
1966,Doctor Zhivago,"Best Writing, Screenplay Based on Material from Another Medium"
1966,Darling,"Best Writing, Story and Screenplay - Written Directly for the Screen"
1967,Paul Scofield,Best Actor in a Leading Role
1967,Walter Matthau,Best Actor in a Supporting Role
1967,Elizabeth Taylor,Best Actress in a Leading Role
1967,Sandy Dennis,Best Actress in a Supporting Role
1967,Who's Afraid of Virginia Woolf?,"Best Art Direction-Set Decoration, Black-and-White"
1967,Fantastic Voyage,"Best Art Direction-Set Decoration, Color"
1967,Who's Afraid of Virginia Woolf?,"Best Cinematography, Black-and-White"
1967,A Man for All Seasons,"Best Cinematography, Color"
1967,Who's Afraid of Virginia Woolf?,"Best Costume Design, Black-and-White"
1967,A Man for All Seasons,"Best Costume Design, Color"
1967,Fred Zinnemann,Best Director
1967,The War Game,"Best Documentary, Features"
1967,A Year Toward Tomorrow,"Best Documentary, Short Subjects"
1967,Grand Prix,"Best Effects, Sound Effects"
1967,Fantastic Voyage,"Best Effects, Special Visual Effects"
1967,Grand Prix,Best Film Editing
1967,A Man and a Woman,Best Foreign Language Film
1967,Born Free,"Best Music, Original Music Score"
1967,Born Free,"Best Music, Original Song"
1967,A Funny Thing Happened on the Way to the Forum,"Best Music, Scoring of Music, Adaptation or Treatment"
1967,A Man for All Seasons,Best Picture
1967,A Herb Alpert & the Tijuana Brass Double Feature,"Best Short Subject, Cartoons"
1967,Wild Wings,"Best Short Subject, Live Action Subjects"
1967,Grand Prix,Best Sound
1967,A Man for All Seasons,"Best Writing, Screenplay Based on Material from Another Medium"
1967,A Man and a Woman,"Best Writing, Story and Screenplay - Written Directly for the Screen"
1968,Rod Steiger,Best Actor in a Leading Role
1968,George Kennedy,Best Actor in a Supporting Role
1968,Katharine Hepburn,Best Actress in a Leading Role
1968,Estelle Parsons,Best Actress in a Supporting Role
1968,Camelot,Best Art Direction-Set Decoration
1968,Bonnie and Clyde,Best Cinematography
1968,Camelot,Best Costume Design
1968,Mike Nichols,Best Director
1968,The Anderson Platoon,"Best Documentary, Features"
1968,The Redwoods,"Best Documentary, Short Subjects"
1968,The Dirty Dozen,"Best Effects, Sound Effects"
1968,Doctor Dolittle,"Best Effects, Special Effects"
1968,In the Heat of the Night,Best Film Editing
1968,Closely Watched Trains,Best Foreign Language Film
1968,Thoroughly Modern Millie,"Best Music, Original Music Score"
1968,Doctor Dolittle,"Best Music, Original Song"
1968,Camelot,"Best Music, Scoring of Music, Adaptation or Treatment"
1968,In the Heat of the Night,Best Picture
1968,The Box,"Best Short Subject, Cartoons"
1968,A Place to Stand,"Best Short Subject, Live Action Subjects"
1968,In the Heat of the Night,Best Sound
1968,In the Heat of the Night,"Best Writing, Screenplay Based on Material from Another Medium"
1968,Guess Who's Coming to Dinner,"Best Writing, Story and Screenplay - Written Directly for the Screen"
1969,Cliff Robertson,Best Actor in a Leading Role
1969,Jack Albertson,Best Actor in a Supporting Role
1969,Barbra Streisand,Best Actress in a Leading Role
1969,Ruth Gordon,Best Actress in a Supporting Role
1969,Oliver!,Best Art Direction-Set Decoration
1969,Romeo and Juliet,Best Cinematography
1969,Romeo and Juliet,Best Costume Design
1969,Carol Reed,Best Director
1969,Journey Into Self,"Best Documentary, Features"
1969,Why Man Creates,"Best Documentary, Short Subjects"
1969,2001: A Space Odyssey,"Best Effects, Special Visual Effects"
1969,Bullitt,Best Film Editing
1969,War and Peace,Best Foreign Language Film
1969,The Lion in Winter,"Best Music, Original Score for a Motion Picture (not a Musical)"
1969,The Thomas Crown Affair,"Best Music, Original Song"
1969,Oliver!,"Best Music, Score of a Musical Picture (Original or Adaptation)"
1969,Oliver!,Best Picture
1969,Winnie the Pooh and the Blustery Day,"Best Short Subject, Cartoons"
1969,Robert Kennedy Remembered,"Best Short Subject, Live Action Subjects"
1969,Oliver!,Best Sound
1969,The Lion in Winter,"Best Writing, Screenplay Based on Material from Another Medium"
1969,The Producers,"Best Writing, Story and Screenplay - Written Directly for the Screen"
1970,John Wayne,Best Actor in a Leading Role
1970,Gig Young,Best Actor in a Supporting Role
1970,Maggie Smith,Best Actress in a Leading Role
1970,Goldie Hawn,Best Actress in a Supporting Role
1970,"Hello, Dolly!",Best Art Direction-Set Decoration
1970,Butch Cassidy and the Sundance Kid,Best Cinematography
1970,Anne of the Thousand Days,Best Costume Design
1970,John Schlesinger,Best Director
1970,Love of Life,"Best Documentary, Features"
1970,Czechoslovakia 1918-1968,"Best Documentary, Short Subjects"
1970,Marooned,"Best Effects, Special Visual Effects"
1970,Z,Best Film Editing
1970,Z,Best Foreign Language Film
1970,Butch Cassidy and the Sundance Kid,"Best Music, Original Score for a Motion Picture (not a Musical)"
1970,Butch Cassidy and the Sundance Kid,"Best Music, Original Song"
1970,"Hello, Dolly!","Best Music, Score of a Musical Picture (Original or Adaptation)"
1970,Midnight Cowboy,Best Picture
1970,It's Tough to Be a Bird,"Best Short Subject, Cartoons"
1970,The Magic Machines,"Best Short Subject, Live Action Subjects"
1970,"Hello, Dolly!",Best Sound
1970,Midnight Cowboy,"Best Writing, Screenplay Based on Material from Another Medium"
1970,Butch Cassidy and the Sundance Kid,"Best Writing, Story and Screenplay Based on Material Not Previously Published or Produced"
1971,George C. Scott,Best Actor in a Leading Role
1971,John Mills,Best Actor in a Supporting Role
1971,Glenda Jackson,Best Actress in a Leading Role
1971,Helen Hayes,Best Actress in a Supporting Role
1971,Patton,Best Art Direction-Set Decoration
1971,Ryan's Daughter,Best Cinematography
1971,Cromwell,Best Costume Design
1971,Franklin J. Schaffner,Best Director
1971,Woodstock,"Best Documentary, Features"
1971,Interviews with My Lai Veterans,"Best Documentary, Short Subjects"
1971,Tora! Tora! Tora!,"Best Effects, Special Visual Effects"
1971,Patton,Best Film Editing
1971,Investigation of a Citizen Above Suspicion,Best Foreign Language Film
1971,Love Story,"Best Music, Original Score"
1971,Lovers and Other Strangers,"Best Music, Original Song"
1971,Let It Be,"Best Music, Original Song Score"
1971,Patton,Best Picture
1971,Is It Always Right to Be Right?,"Best Short Subject, Cartoons"
1971,The Resurrection of Broncho Billy,"Best Short Subject, Live Action Subjects"
1971,Patton,Best Sound
1971,MASH,"Best Writing, Screenplay Based on Material from Another Medium"
1971,Patton,"Best Writing, Story and Screenplay Based on Factual Material or Material Not Previously Published or Produced"
1972,Gene Hackman,Best Actor in a Leading Role
1972,Ben Johnson,Best Actor in a Supporting Role
1972,Jane Fonda,Best Actress in a Leading Role
1972,Cloris Leachman,Best Actress in a Supporting Role
1972,Nicholas and Alexandra,Best Art Direction-Set Decoration
1972,Fiddler on the Roof,Best Cinematography
1972,Nicholas and Alexandra,Best Costume Design
1972,William Friedkin,Best Director
1972,The Hellstrom Chronicle,"Best Documentary, Features"
1972,Sentinels of Silence,"Best Documentary, Short Subjects"
1972,Bedknobs and Broomsticks,"Best Effects, Special Visual Effects"
1972,The French Connection,Best Film Editing
1972,The Garden of the Finzi-Continis,Best Foreign Language Film
1972,Summer of '42,"Best Music, Original Dramatic Score"
1972,Shaft,"Best Music, Original Song"
1972,Fiddler on the Roof,"Best Music, Scoring Adaptation and Original Song Score"
1972,The French Connection,Best Picture
1972,The Crunch Bird,"Best Short Subject, Animated Films"
1972,Sentinels of Silence,"Best Short Subject, Live Action Films"
1972,Fiddler on the Roof,Best Sound
1972,The French Connection,"Best Writing, Screenplay Based on Material from Another Medium"
1972,The Hospital,"Best Writing, Story and Screenplay Based on Factual Material or Material Not Previously Published or Produced"
1973,Marlon Brando,Best Actor in a Leading Role
1973,Joel Grey,Best Actor in a Supporting Role
1973,Liza Minnelli,Best Actress in a Leading Role
1973,Eileen Heckart,Best Actress in a Supporting Role
1973,Cabaret,Best Art Direction-Set Decoration
1973,Cabaret,Best Cinematography
1973,Travels with My Aunt,Best Costume Design
1973,Bob Fosse,Best Director
1973,Marjoe,"Best Documentary, Features"
1973,Deze kleine wereld,"Best Documentary, Short Subjects"
1973,Cabaret,Best Film Editing
1973,The Discreet Charm of the Bourgeoisie,Best Foreign Language Film
1973,Limelight,"Best Music, Original Dramatic Score"
1973,The Poseidon Adventure,"Best Music, Original Song"
1973,Cabaret,"Best Music, Scoring Original Song Score and/or Adaptation"
1973,The Godfather,Best Picture
1973,A Christmas Carol,"Best Short Subject, Animated Films"
1973,Norman Rockwell's World... An American Dream,"Best Short Subject, Live Action Films"
1973,Cabaret,Best Sound
1973,The Godfather,"Best Writing, Screenplay Based on Material from Another Medium"
1973,The Candidate,"Best Writing, Story and Screenplay Based on Factual Material or Material Not Previously Published or Produced"
1974,Jack Lemmon,Best Actor in a Leading Role
1974,John Houseman,Best Actor in a Supporting Role
1974,Glenda Jackson,Best Actress in a Leading Role
1974,Tatum O'Neal,Best Actress in a Supporting Role
1974,The Sting,Best Art Direction-Set Decoration
1974,Cries & Whispers,Best Cinematography
1974,The Sting,Best Costume Design
1974,George Roy Hill,Best Director
1974,The Great American Cowboy,"Best Documentary, Features"
1974,Princeton: A Search for Answers,"Best Documentary, Short Subjects"
1974,The Sting,Best Film Editing
1974,Day for Night,Best Foreign Language Film
1974,The Way We Were,"Best Music, Original Dramatic Score"
1974,The Way We Were,"Best Music, Original Song"
1974,The Sting,"Best Music, Scoring Original Song Score and/or Adaptation"
1974,The Sting,Best Picture
1974,Frank Film,"Best Short Subject, Animated Films"
1974,The Bolero,"Best Short Subject, Live Action Films"
1974,The Exorcist,Best Sound
1974,The Exorcist,"Best Writing, Screenplay Based on Material from Another Medium"
1974,The Sting,"Best Writing, Story and Screenplay Based on Factual Material or Material Not Previously Published or Produced"
1975,Art Carney,Best Actor in a Leading Role
1975,Robert De Niro,Best Actor in a Supporting Role
1975,Ellen Burstyn,Best Actress in a Leading Role
1975,Ingrid Bergman,Best Actress in a Supporting Role
1975,The Godfather Part II,Best Art Direction-Set Decoration
1975,The Towering Inferno,Best Cinematography
1975,The Great Gatsby,Best Costume Design
1975,Francis Ford Coppola,Best Director
1975,Hearts and Minds,"Best Documentary, Features"
1975,Don't,"Best Documentary, Short Subjects"
1975,The Towering Inferno,Best Film Editing
1975,I Remember,Best Foreign Language Film
1975,The Godfather Part II,"Best Music, Original Dramatic Score"
1975,The Towering Inferno,"Best Music, Original Song"
1975,The Great Gatsby,"Best Music, Scoring Original Song Score and/or Adaptation"
1975,The Godfather Part II,Best Picture
1975,Closed Mondays,"Best Short Film, Animated"
1975,One-Eyed Men Are Kings,"Best Short Film, Live Action"
1975,Earthquake,Best Sound
1975,Chinatown,"Best Writing, Original Screenplay"
1975,The Godfather Part II,"Best Writing, Screenplay Adapted From Other Material"
1976,Jack Nicholson,Best Actor in a Leading Role
1976,George Burns,Best Actor in a Supporting Role
1976,Louise Fletcher,Best Actress in a Leading Role
1976,Lee Grant,Best Actress in a Supporting Role
1976,Barry Lyndon,Best Art Direction-Set Decoration
1976,Barry Lyndon,Best Cinematography
1976,Barry Lyndon,Best Costume Design
1976,Milos Forman,Best Director
1976,The Man Who Skied Down Everest,"Best Documentary, Features"
1976,The End of the Game,"Best Documentary, Short Subjects"
1976,Jaws,Best Film Editing
1976,Dersu Uzala,Best Foreign Language Film
1976,Jaws,"Best Music, Original Dramatic Score"
1976,Nashville,"Best Music, Original Song"
1976,Barry Lyndon,"Best Music, Scoring Original Song Score and/or Adaptation"
1976,One Flew Over the Cuckoo's Nest,Best Picture
1976,Great (Isambard Kingdom Brunel),"Best Short Film, Animated"
1976,Angel and Big Joe,"Best Short Film, Live Action"
1976,Jaws,Best Sound
1976,Dog Day Afternoon,"Best Writing, Original Screenplay"
1976,One Flew Over the Cuckoo's Nest,"Best Writing, Screenplay Adapted From Other Material"
1977,Peter Finch,Best Actor in a Leading Role
1977,Jason Robards,Best Actor in a Supporting Role
1977,Faye Dunaway,Best Actress in a Leading Role
1977,Beatrice Straight,Best Actress in a Supporting Role
1977,All the President's Men,Best Art Direction-Set Decoration
1977,Bound for Glory,Best Cinematography
1977,Fellini's Casanova,Best Costume Design
1977,John G. Avildsen,Best Director
1977,Harlan County U.S.A.,"Best Documentary, Features"
1977,Number Our Days,"Best Documentary, Short Subjects"
1977,Rocky,Best Film Editing
1977,Black and White in Color,Best Foreign Language Film
1977,The Omen,"Best Music, Original Score"
1977,A Star Is Born,"Best Music, Original Song"
1977,Bound for Glory,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score"
1977,Rocky,Best Picture
1977,Leisure,"Best Short Film, Animated"
1977,In the Region of Ice,"Best Short Film, Live Action"
1977,All the President's Men,Best Sound
1977,All the President's Men,"Best Writing, Screenplay Based on Material from Another Medium"
1977,Network,"Best Writing, Screenplay Written Directly for the Screen"
1978,Richard Dreyfuss,Best Actor in a Leading Role
1978,Jason Robards,Best Actor in a Supporting Role
1978,Diane Keaton,Best Actress in a Leading Role
1978,Vanessa Redgrave,Best Actress in a Supporting Role
1978,Star Wars: Episode IV - A New Hope,Best Art Direction-Set Decoration
1978,Close Encounters of the Third Kind,Best Cinematography
1978,Star Wars: Episode IV - A New Hope,Best Costume Design
1978,Woody Allen,Best Director
1978,Who Are the DeBolts? and Where Did They Get Nineteen Kids?,"Best Documentary, Features"
1978,Gravity Is My Enemy,"Best Documentary, Short Subjects"
1978,Star Wars: Episode IV - A New Hope,"Best Effects, Visual Effects"
1978,Star Wars: Episode IV - A New Hope,Best Film Editing
1978,Madame Rosa,Best Foreign Language Film
1978,Star Wars: Episode IV - A New Hope,"Best Music, Original Score"
1978,You Light Up My Life,"Best Music, Original Song"
1978,A Little Night Music,"Best Music, Original Song Score and Its Adaptation or Best Adaptation Score"
1978,Annie Hall,Best Picture
1978,The Sand Castle,"Best Short Film, Animated"
1978,I'll Find a Way,"Best Short Film, Live Action"
1978,Star Wars: Episode IV - A New Hope,Best Sound
1978,Julia,"Best Writing, Screenplay Based on Material from Another Medium"
1978,Annie Hall,"Best Writing, Screenplay Written Directly for the Screen"
1979,Jon Voight,Best Actor in a Leading Role
1979,Christopher Walken,Best Actor in a Supporting Role
1979,Jane Fonda,Best Actress in a Leading Role
1979,Maggie Smith,Best Actress in a Supporting Role
1979,Heaven Can Wait,Best Art Direction-Set Decoration
1979,Days of Heaven,Best Cinematography
1979,Death on the Nile,Best Costume Design
1979,Michael Cimino,Best Director
1979,Scared Straight!,"Best Documentary, Features"
1979,The Flight of the Gossamer Condor,"Best Documentary, Short Subjects"
